Name,Hash,Id,Tag,Tier,Type,Source,Equippable,Power,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Year,Season,Event,DTR Rating,# of Reviews,Mobility,Recovery,Resilience,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11
Reverie Dawn Gloves,2761343386,"""6917529097085733000""",,Legendary,Gauntlets,dreaming,Warlock,733,Solar Damage Resistance,2,Warlock(750),false,false,2,4,,5,3,1,2,0,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Riven's Curse*,Tier 2 Armor*,Burnished Dreams*,Fusion Rifle Loader*,Fastball,Momentum Transfer,Sniper Rifle Scavenger*,Heavy Ammo Finder,
Reverie Dawn Gloves,2761343386,"""6917529097088083242""",,Legendary,Gauntlets,dreaming,Warlock,728,Solar Damage Resistance,3,Warlock(750),false,false,2,4,,5,3,2,1,0,,Mobile Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Riven's Curse*,Tier 3 Armor*,Burnished Dreams*,Fastball*,Impact Induction,Energy Weapon Loader,Shotgun Scavenger*,Heavy Ammo Finder,
Getaway Artist,3070357340,"""6917529097262106518""",,Exotic,Gauntlets,,Warlock,750,,,Warlock(750),false,false,2,6,,3.7,13,1,1,1,,Dynamic Duo*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Fastball*,Momentum Transfer,Rifle Loader,Grenade Launcher Scavenger*,Sword Scavenger,,,,
Gloves of the Great Hunt,2598685593,"""6917529097257276991""",,Legendary,Gauntlets,lastwish,Warlock,750,Void Damage Resistance,1,Warlock(750),false,false,2,4,,N/A,N/A,1,1,1,,Heavy Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Fastball*,Impact Induction,Machine Gun Loader,Grenade Launcher Scavenger*,Shotgun Scavenger,,,
Prodigal Gloves,2475888361,"""6917529097318284307""",,Legendary,Gauntlets,,Warlock,733,Void Damage Resistance,3,Warlock(750),false,false,2,4,,N/A,N/A,1,1,1,,Heavy Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 3 Armor*,Grenade Launcher Loader*,Fastball,Shotgun Scavenger*,Sword Scavenger,,,,
Reverie Dawn Gloves,2761343386,"""6917529097367466731""",,Legendary,Gauntlets,dreaming,Warlock,733,Void Damage Resistance,2,Warlock(750),false,false,2,4,,5,2,1,2,0,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Riven's Curse*,Tier 2 Armor*,Burnished Dreams*,Grenade Launcher Loader*,Fastball,Momentum Transfer,Grenade Launcher Scavenger*,Special Ammo Finder,
Scatterhorn Wraps,1069453608,"""6917529097371362622""",,Legendary,Gauntlets,tangled,Warlock,734,Void Damage Resistance,1,Warlock(750),false,false,2,4,,N/A,N/A,1,1,1,,Heavy Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Tangled Rust*,Fastball*,Momentum Transfer,Fusion Rifle Scavenger*,Sniper Rifle Scavenger,,,
Insigne Shade Robes,1296628624,"""6917529096520408150""",,Legendary,Chest Armor,calus,Warlock,730,,,Warlock(750),false,false,1,3,,N/A,N/A,0,2,2,,Heavy Warlock Armor*,Mobility Enhancement Mod,Restorative Mod*,Heavy Hitter*,Praetorian Ornament*,Masterwork Upgrade*,,,,,,
Tangled Web Robes,1034149520,"""6917529097088090903""",,Legendary,Chest Armor,,Warlock,730,Arc Damage Resistance,1,Warlock(750),false,false,2,4,,N/A,N/A,1,2,1,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Restorative Mod,Tier 1 Armor*,Unflinching Bow Aim*,Unflinching Large Arms,Bow Reserves*,Hand Cannon Reserves,,,,
Ancient Apocalypse Robes,4188366993,"""6917529097371371220""",,Legendary,Chest Armor,gambit,Warlock,750,Arc Damage Resistance,1,Warlock(750),false,false,2,4,,N/A,N/A,2,1,1,,Mobile Warlock Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 1 Armor*,Gambit Leather*,Unflinching Linear Fusion Aim*,Unflinching Scout Rifle Aim,Hand Cannon Reserves*,Special Ammo Finder,,,
Vigil of Heroes,3569624585,"""6917529097119373517""",,Legendary,Chest Armor,strikes,Warlock,750,Void Damage Resistance,1,Warlock(750),false,false,2,4,,N/A,N/A,0,1,3,,Heavy Warlock Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 1 Armor*,Vanguard Veteran*,Unflinching Kinetic Aim*,Unflinching Energy Aim,Bow Reserves*,Hand Cannon Reserves,,,
Robes of the Great Hunt,3445296383,"""6917529097190781665""",,Legendary,Chest Armor,lastwish,Warlock,729,Solar Damage Resistance,1,Warlock(750),false,false,2,4,,N/A,N/A,0,2,2,,Restorative Warlock Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 1 Armor*,Unflinching Linear Fusion Aim*,Unflinching Energy Aim,Unflinching Power Aim,Hand Cannon Reserves*,Primary Ammo Finder,,,
Reverie Dawn Tabard,2859583726,"""6917529097121921345""",,Legendary,Chest Armor,dreaming,Warlock,750,Arc Damage Resistance,2,Warlock(750),false,false,2,4,,5,1,1,2,1,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Restorative Mod,Riven's Curse*,Tier 2 Armor*,Burnished Dreams*,Unflinching Fusion Rifle Aim*,Unflinching Sniper Aim,Enhanced Unflinching Bow Aim,Auto Rifle Reserves*,Hand Cannon Reserves,
Reverie Dawn Tabard,2859583726,"""6917529097395035209""",,Legendary,Chest Armor,dreaming,Warlock,730,Void Damage Resistance,2,Warlock(750),false,false,2,4,,5,3,3,1,0,,Mobile Warlock Armor*,Mobility Enhancement Mod*,Restorative Mod,Riven's Curse*,Tier 2 Armor*,Burnished Dreams*,Unflinching Hand Cannon Aim*,Unflinching Energy Aim,Unflinching Power Aim,Auto Rifle Reserves*,Submachine Gun Reserves,
Robes of the Great Hunt,3445296383,"""6917529097254924674""",,Legendary,Chest Armor,lastwish,Warlock,750,Arc Damage Resistance,2,Warlock(750),false,false,2,4,,N/A,N/A,0,1,3,,Heavy Warlock Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 2 Armor*,Unflinching Linear Fusion Aim*,Unflinching Energy Aim,Enhanced Unflinching Sniper Aim,Auto Rifle Reserves*,Scout Rifle Reserves,,,
Reverie Dawn Tabard,2859583726,"""6917529097367466469""",,Legendary,Chest Armor,dreaming,Warlock,734,Arc Damage Resistance,2,Warlock(750),false,false,2,4,,5,1,1,2,1,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Restorative Mod,Riven's Curse*,Tier 2 Armor*,Burnished Dreams*,Unflinching Bow Aim*,Unflinching Sidearm Aim,Unflinching Kinetic Aim,Auto Rifle Reserves*,Sidearm Reserves,
Insigne Shade Boots,548581042,"""6917529096520409409""",,Legendary,Leg Armor,calus,Warlock,730,,,Warlock(750),false,false,1,3,,N/A,N/A,0,1,2,,Heavy Warlock Armor*,Mobility Enhancement Mod,Plasteel Reinforcement Mod*,Energized*,Praetorian Ornament*,Masterwork Upgrade*,,,,,,
Tangled Web Boots,537272242,"""6917529097114772248""",,Legendary,Leg Armor,,Warlock,750,Solar Damage Resistance,2,Warlock(750),false,false,2,4,,N/A,N/A,2,1,0,,Mobile Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 2 Armor*,Perpetuation*,Light Arms Dexterity,Scout Rifle Scavenger*,Submachine Gun Scavenger,,,,
Prodigal Steps,2767830203,"""6917529097119381634""",,Legendary,Leg Armor,,Warlock,729,Void Damage Resistance,4,Warlock(750),false,false,2,4,,N/A,N/A,1,2,0,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 4 Armor*,Linear Fusion Dexterity*,Perpetuation,Auto Rifle Scavenger*,Sidearm Scavenger,,,,
Lunafaction Boots,2954558332,"""6917529094510969278""",,Exotic,Leg Armor,,Warlock,750,,,Warlock(750),false,false,1,1,,5,24,0,1,2,,Calus's Elite*,Alchemical Etchings*,Mobility Enhancement Mod,Plasteel Reinforcement Mod*,Outreach*,Primary Ammo Finder*,,,,,,
Prodigal Steps,2767830203,"""6917529097195341356""",,Legendary,Leg Armor,,Warlock,728,Arc Damage Resistance,1,Warlock(750),false,false,2,4,,N/A,N/A,1,1,1,,Heavy Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Shotgun Dexterity*,Sidearm Dexterity,Sidearm Scavenger*,Primary Ammo Finder,,,,
Prodigal Steps,2767830203,"""6917529097218115692""",,Legendary,Leg Armor,,Warlock,723,Arc Damage Resistance,1,Warlock(750),false,false,2,4,,N/A,N/A,1,2,0,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Perpetuation*,Dynamo,Submachine Gun Scavenger*,Special Ammo Finder,,,,
Tangled Web Boots,537272242,"""6917529097259776792""",,Legendary,Leg Armor,,Warlock,728,Void Damage Resistance,3,Warlock(750),false,false,2,4,,N/A,N/A,2,1,0,,Mobile Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 3 Armor*,Submachine Gun Dexterity*,Kinetic Dexterity,Hand Cannon Scavenger*,Pulse Rifle Scavenger,,,,
Tangled Web Boots,537272242,"""6917529097375949614""",,Legendary,Leg Armor,,Warlock,750,Arc Damage Resistance,2,Warlock(750),false,false,2,4,,N/A,N/A,1,2,0,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 2 Armor*,Bow Dexterity*,Sidearm Dexterity,Auto Rifle Scavenger*,Sidearm Scavenger,,,,
Reverie Dawn Boots,188778964,"""6917529097392769996""",,Legendary,Leg Armor,dreaming,Warlock,730,Solar Damage Resistance,1,Warlock(750),false,false,2,4,,5,1,1,1,1,,Heavy Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Riven's Curse*,Tier 1 Armor*,Blueshift Dreams*,Perpetuation*,Outreach,Oversize Weapon Dexterity,Auto Rifle Scavenger*,Arrow Scavenger,
Insigne Shade Bond,223783885,"""6917529096520409166""",,Legendary,Warlock Bond,calus,Warlock,730,,,Warlock(750),false,false,1,3,,N/A,N/A,0,0,0,,Emperor's Shock*,Emperor's Blaze,Emperor's Balance,Praetorian Ornament*,Masterwork Upgrade*,,,,,,,
Reverie Dawn Bond,3602032567,"""6917529097088083956""",,Legendary,Warlock Bond,dreaming,Warlock,724,Void Damage Resistance,2,Warlock(750),false,false,2,4,,N/A,N/A,0,0,0,,Riven's Curse*,Tier 2 Armor*,Burnished Dreams*,Insulation*,Invigoration,Better Already,Hand Cannon Reserves*,Linear Fusion Rifle Scavenger,,,,
Tangled Web Bond,4256272077,"""6917529097117115634""",,Legendary,Warlock Bond,,Warlock,750,Void Damage Resistance,1,Warlock(750),false,false,2,4,,N/A,N/A,0,0,0,,Tier 1 Armor*,Invigoration*,Better Already,Bow Reserves*,Hand Cannon Reserves,,,,,,,
Tangled Web Bond,4256272077,"""6917529097119377744""",,Legendary,Warlock Bond,,Warlock,727,Solar Damage Resistance,2,Warlock(750),false,false,2,4,,5,1,0,0,0,,Tier 2 Armor*,Recuperation*,Better Already,Scout Rifle Reserves*,Sniper Rifle Reserves,,,,,,,
Tangled Web Bond,4256272077,"""6917529097121913587""",,Legendary,Warlock Bond,,Warlock,732,Solar Damage Resistance,1,Warlock(750),false,false,2,4,,5,1,0,0,0,,Tier 1 Armor*,Recuperation*,Better Already,Fusion Rifle Reserves*,Sniper Rifle Reserves,,,,,,,
Prodigal Bond,2800566014,"""6917529097218117078""",,Legendary,Warlock Bond,,Warlock,727,Solar Damage Resistance,1,Warlock(750),false,false,2,4,,N/A,N/A,0,0,0,,Tier 1 Armor*,Invigoration*,Better Already,Sniper Rifle Reserves*,Sword Scavenger,,,,,,,
Bond of the Great Hunt,821841934,"""6917529097264744142""",,Legendary,Warlock Bond,lastwish,Warlock,750,Arc Damage Resistance,1,Warlock(750),false,false,2,4,,N/A,N/A,0,0,0,,Tier 1 Armor*,Invigoration*,Recuperation,Better Already,Submachine Gun Reserves*,Heavy Ammo Finder,,,,,,
Reverie Dawn Bond,3602032567,"""6917529097367467720""",,Legendary,Warlock Bond,dreaming,Warlock,733,Void Damage Resistance,1,Warlock(750),false,false,2,4,,N/A,N/A,0,0,0,,Riven's Curse*,Tier 1 Armor*,Burnished Dreams*,Insulation*,Invigoration,Recuperation,Bow Reserves*,Shotgun Scavenger,,,,
Reverie Dawn Hood,185695659,"""6917529097397467629""",,Legendary,Helmet,dreaming,Warlock,732,Arc Damage Resistance,1,Warlock(750),false,false,2,4,,5,5,2,1,0,,Mobile Warlock Armor*,Mobility Enhancement Mod*,Restorative Mod,Riven's Curse*,Tier 1 Armor*,Burnished Dreams*,Pulse Rifle Targeting*,Hands-On,Enhanced Heavy Lifting,Linear Fusion Rifle Reserves*,Heavy Ammo Finder,
Prophet Snow,2151724216,"""6917529097397463265""",,Rare,Helmet,,Warlock,734,,,Warlock(750),false,false,2,4,,N/A,N/A,0,2,0,,Restorative Warlock Armor*,Metallic Sunrise*,Hands-On*,,,,,,,,,
Hood of Optimacy,979292443,"""6917529095011150302""",,Legendary,Helmet,eververse,Warlock,750,Solar Damage Resistance,2,Warlock(750),false,true,2,7,,5,7,0,2,1,,Heavy Warlock Armor*,Plasteel Reinforcement Mod,Restorative Mod*,Tier 2 Armor*,Calus's Elite*,Pump Action*,Kinetic Weapon Targeting,Shotgun Reserves*,Sniper Rifle Reserves,Empty Activity Mod Socket*,,
Scatterhorn Wraps,1069453608,"""6917529095808587638""",,Legendary,Gauntlets,tangled,Warlock,750,Solar Damage Resistance,1,Warlock(750),false,true,2,4,,N/A,N/A,0,1,2,,Heavy Warlock Armor*,Mobility Enhancement Mod,Plasteel Reinforcement Mod*,Tier 1 Armor*,Tangled Rust*,Shotgun Loader,Light Arms Loader*,Sniper Rifle Scavenger,Heavy Ammo Finder*,,,
Tangled Web Robes,1034149520,"""6917529095110524960""",,Legendary,Chest Armor,,Warlock,750,Solar Damage Resistance,3,Warlock(750),false,true,2,4,,N/A,N/A,0,3,1,,Restorative Warlock Armor*,Mobility Enhancement Mod,Restorative Mod*,Tier 3 Armor*,Atmospheric Glow*,Unflinching Grenade Launcher Aim,Unflinching Energy Aim*,Hand Cannon Reserves,Special Ammo Finder*,,,
Geomag Stabilizers,2808445048,"""6917529096391943838""",,Exotic,Leg Armor,,Warlock,750,,,Warlock(750),false,true,2,4,,5,13,0,2,2,,Close Enough*,Mobility Enhancement Mod,Plasteel Reinforcement Mod*,Super Mod*,Electromag Stabilizers,Bomber,Outreach,Dynamo*,Auto Rifle Scavenger*,Hand Cannon Scavenger,,
Tangled Web Bond,4256272077,"""6917529095290066270""",,Legendary,Warlock Bond,,Warlock,750,Arc Damage Resistance,1,Warlock(750),false,true,2,4,,5,1,0,0,0,,Tier 1 Armor*,Invigoration,Recuperation*,Pulse Rifle Reserves*,Shotgun Scavenger,,,,,,,
Hardcase Helm,1070180272,"""6917529094015508451""",,Rare,Helmet,,Titan,690,,,Titan(641),false,true,2,4,,N/A,N/A,0,1,1,,Restorative Titan Armor*,Metallic Sunset*,Hands-On*,,,,,,,,,
Hardcase Brawlers,867963905,"""6917529094003273916""",,Rare,Gauntlets,,Titan,690,,,Titan(641),false,true,2,4,,N/A,N/A,0,1,1,,Restorative Titan Armor*,Metallic Sunrise*,Power Weapon Loader*,,,,,,,,,
Hardcase Battleplate,201644247,"""6917529094018543565""",,Rare,Chest Armor,,Titan,690,,,Titan(641),false,true,2,4,,N/A,N/A,1,1,1,,Restorative Titan Armor*,Metallic Sunset*,Unflinching Fusion Rifle Aim*,,,,,,,,,
Scatterhorn Greaves,2243444841,"""6917529094012507681""",,Legendary,Leg Armor,tangled,Titan,690,Void Damage Resistance,3,Titan(641),false,true,2,4,,N/A,N/A,1,0,2,,Heavy Titan Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 3 Armor*,Tangled Rust*,Linear Fusion Dexterity*,Rocket Launcher Dexterity,Submachine Gun Scavenger*,Special Ammo Finder,,,
Mark of Confrontation,2329963686,"""6917529094000282861""",,Rare,Titan Mark,,Titan,690,,,Titan(641),false,true,2,4,,N/A,N/A,0,0,0,,Metallic Sunrise*,Insulation*,,,,,,,,,,
Crown of Tempests,2523259395,"""6917529069103300317""",,Exotic,Helmet,,Warlock,750,,,Hunter(678),true,false,1,1,,5,5,1,2,0,,Monochromatic*,Conduction Tines*,Mobility Enhancement Mod,Restorative Mod*,Crown Joules*,Sidearm Targeting,Light Reactor,Heavy Lifting*,Rocket Launcher Reserves,Heavy Ammo Finder*,,
Sanguine Alchemy,2422973183,"""6917529096269866271""",,Exotic,Chest Armor,,Warlock,750,,,Hunter(678),false,false,1,3,,1,3,1,2,1,,Heightened Senses*,Mobility Enhancement Mod*,Restorative Mod,Unflinching Auto Rifle Aim*,Unflinching Energy Aim,Unflinching Light Arms Aim,Hand Cannon Reserves*,Pulse Rifle Reserves,,,,
Geomag Stabilizers,2808445048,"""6917529094781382305""",,Exotic,Leg Armor,,Warlock,750,,,Hunter(678),false,false,2,4,,5,20,0,2,2,,Close Enough*,Mobility Enhancement Mod,Plasteel Reinforcement Mod*,Electromag Stabilizers*,Copper and Blood*,Dynamo*,Kinetic Dexterity,Oversize Weapon Dexterity,Primary Ammo Finder,Special Ammo Finder*,,
The Outlander's Cover,1992338980,"""6917529094015505186""",,Rare,Helmet,,Hunter,690,,,Hunter(678),false,true,2,4,,N/A,N/A,1,1,0,,Survivalist Hunter Armor*,Metallic Sunset*,Pump Action*,,,,,,,,,
The Outlander's Grip,1556652797,"""6917529094000288583""",,Rare,Gauntlets,,Hunter,690,,,Hunter(678),false,true,2,4,,N/A,N/A,1,1,0,,Survivalist Hunter Armor*,Metallic Sunrise*,Bow Reloader*,,,,,,,,,
The Outlander's Heart,1701236611,"""6917529094018544804""",,Rare,Chest Armor,,Hunter,690,,,Hunter(678),false,true,2,4,,N/A,N/A,1,1,1,,Survivalist Hunter Armor*,Metallic Sunset*,Unflinching Scout Rifle Aim*,,,,,,,,,
The Outlander's Steps,3880804895,"""6917529094003274275""",,Rare,Leg Armor,,Hunter,690,,,Hunter(678),false,true,2,4,,N/A,N/A,0,1,1,,Survivalist Hunter Armor*,Clouds at Sea*,Light Arms Dexterity*,,,,,,,,,
The Outlander's Cloak,600059642,"""6917529094003276241""",,Rare,Hunter Cloak,,Hunter,690,,,Hunter(678),false,true,2,4,,N/A,N/A,0,0,0,,Metallic Sunrise*,Invigoration*,,,,,,,,,,
Skerren Corvus Vest,654307116,"""6917529080300717360""",,Legendary,Chest Armor,eververse,Hunter,10,Arc Damage Resistance,1,Vault,false,false,2,4,Festival of the Lost,N/A,N/A,2,0,2,,Tier 1 Armor*,Mobile Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Unflinching Grenade Launcher Aim*,Unflinching Sidearm Aim,Submachine Gun Reserves*,Special Ammo Finder,,,,
Prodigal Vest,2766448160,"""6917529075700700972""",,Legendary,Chest Armor,,Hunter,518,Solar Damage Resistance,1,Vault,false,false,2,4,,5,1,1,1,2,,Survivalist Hunter Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 1 Armor*,Unflinching Hand Cannon Aim*,Unflinching Rifle Aim,Pulse Rifle Reserves*,Scout Rifle Reserves,,,,
Grips of the Ace-Defiant,1960303677,"""6917529061879710276""",,Legendary,Gauntlets,calus,Hunter,380,,,Vault,true,false,1,1,,N/A,N/A,2,0,1,,Mobile Hunter Armor*,Mobility Enhancement Mod,Plasteel Reinforcement Mod*,Striking Hand,Shielding Hand,Giving Hand*,Calus's Treasured*,Masterwork Upgrade*,,,,
Tangled Web Gloves,2502004600,"""6917529094507921567""",,Legendary,Gauntlets,,Warlock,698,Solar Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,1,1,1,,Heavy Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 2 Armor*,Shotgun Loader*,Large Weapon Loader,Rocket Launcher Scavenger*,Heavy Ammo Finder,,,,
Orpheus Rig,1245809813,"""6917529045397909111""",,Exotic,Leg Armor,,Hunter,380,,,Vault,false,false,1,1,,4,28,3,0,1,,Kairos Bronze*,Uncanny Arrows*,Mobility Enhancement Mod,Plasteel Reinforcement Mod*,Self-Repairing Mod*,Forest Ranger,Traction*,Primary Ammo Finder*,,,,
Reverie Dawn Gloves,2761343386,"""6917529094450645761""",,Legendary,Gauntlets,dreaming,Warlock,711,Solar Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,1,1,1,,Heavy Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Riven's Curse*,Tier 2 Armor*,Burnished Dreams*,Pulse Rifle Loader*,Fastball,Enhanced Shotgun Loader,Linear Fusion Rifle Scavenger*,Sniper Rifle Scavenger,
Memory of Cayde Cloak,625602056,"""6917529072337012615""",,Legendary,Hunter Cloak,,Hunter,464,Arc Damage Resistance,2,Vault,false,false,2,4,,4.8,52,0,0,0,,Paragon Mod*,Tier 2 Armor*,Insulation*,Heavy Ammo Finder*,,,,,,,,
Ancient Apocalypse Plate,4115739810,"""6917529080282133781""",,Legendary,Chest Armor,gambit,Titan,566,Solar Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,2,0,2,,Mobile Titan Armor*,Plasteel Reinforcement Mod*,Restorative Mod,Tier 2 Armor*,Gambit Leather*,Unflinching Hand Cannon Aim*,Unflinching Sniper Aim,Pulse Rifle Reserves*,Sidearm Reserves,,,
Scatterhorn Bond,177829853,"""6917529072509062267""",,Legendary,Warlock Bond,tangled,Warlock,518,Arc Damage Resistance,3,Vault,false,false,2,4,,N/A,N/A,0,0,0,,Tier 3 Armor*,Tangled Rust*,Insulation*,Recuperation,Submachine Gun Reserves*,Submachine Gun Scavenger,,,,,,
Solstice Helm (Scorched),1174021263,"""6917529062140689554""",,Uncommon,Helmet,,Titan,200,,,Vault,false,false,1,3,Solstice of Heroes,5,1,1,0,0,,No Armor Glow*,,,,,,,,,,,
Memory of Cayde,1014677029,"""6917529066800275818""",,Legendary,Warlock Bond,,Warlock,469,Arc Damage Resistance,2,Vault,false,false,2,4,,4.9,22,0,0,0,,Ordnance Mod*,Tier 2 Armor*,Innervation*,Heavy Ammo Finder*,,,,,,,,
Wing Theorem,4264096388,"""6917529094424171315""",,Legendary,Leg Armor,crucible,Warlock,687,Void Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,1,2,0,,Restorative Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 2 Armor*,Crucible Legacy*,Perpetuation*,Bomber,Arrow Scavenger*,Hand Cannon Scavenger,,,
Prodigal Steps,2767830203,"""6917529094854745867""",,Legendary,Leg Armor,,Warlock,713,Solar Damage Resistance,1,Vault,false,false,2,4,,N/A,N/A,2,1,1,,Heavy Warlock Armor*,Mobility Enhancement Mod*,Plasteel Reinforcement Mod,Tier 1 Armor*,Traction*,Outreach,Primary Ammo Finder*,Special Ammo Finder,,,,
Prodigal Steps,2767830203,"""6917529094578043545""",,Legendary,Leg Armor,,Warlock,728,Void Damage Resistance,2,Vault,false,false,2,4,,N/A,N/A,0,1,2,,Heavy Warlock Armor*,Mobility Enhancement Mod,Plasteel Reinforcement Mod*,Tier 2 Armor*,Perpetuation*,Bomber,Hand Cannon Scavenger*,Sidearm Scavenger,,,,
